MLS_id,Status,Previous_Price
1232169,Closed,250000
1256044,Pending Offer,1795000
1280505,Contingent Offer,75000
1297454,Closed,169500
1303532,Closed,
1339148,Contingent Offer,
1343371,Contingent Offer,
1342197,Contingent Offer,
1341858,Active-Exclusive Right,469000
1345228,Closed,
1347435,Contingent Offer,
1348969,Contingent Offer,
1350521,Closed,84999
1351849,Active-Exclusive Right,418000
1353354,Contingent Offer,117000
1357701,Active-Exclusive Right,429000
1357763,Closed,233000
1359192,Contingent Offer,
1359631,Active-Exclusive Right,327900
1361008,Closed,410000
1362479,Closed,
1362822,Active-Exclusive Right,
1363509,Pending Offer,99900
1368628,Active-Exclusive Right,265000
1368641,Active-Exclusive Right,350000
1372036,Contingent Offer,
1368463,Closed,
1370031,Active-Exclusive Right,
1370180,Active-Exclusive Right,
1371446,Active-Exclusive Right,
1374211,Active-Exclusive Right,
1372170,Contingent Offer,
1372692,Active-Exclusive Right,
1372773,Active-Exclusive Right,
1372881,Active-Exclusive Right,
1375650,Active-Exclusive Right,
1375919,Active-Exclusive Right,
1375186,Active-Exclusive Right,
1375193,Active-Exclusive Right,
1375212,Active-Exclusive Right,
1375299,Active-Exclusive Right,
1375566,Active-Exclusive Right,
1375917,Active-Exclusive Right,
1375897,Active-Exclusive Right,
1375911,Active-Exclusive Right,
1375829,Active-Exclusive Right,
1375920,Active-Exclusive Right,
1375916,Active-Exclusive Right,
1375910,Active-Exclusive Right,
1375906,Active-Exclusive Right,
1375912,Active-Exclusive Right,
1375913,Active-Exclusive Right,
1375923,Active-Exclusive Right,